graph,component,component
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers-next/xenial/neutron,cs:~openstack-charmers-next/xenial/percona
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers-next/xenial/neutron/neutron-gateway,cs:~openstack-charmers-next/xenial/neutron/neutron-api
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers,cs:~openstack-charmers-next/xenial/rabbitmq
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers-next/xenial/nova,cs:~openstack-charmers
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers-next/xenial/nova-cloud,cs:~openstack-charmers-next/xenial/nova
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers-next/xenial/nova-cloud,cs:~openstack-charmers-next/xenial/rabbitmq
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers-next/xenial/nova-cloud,cs:~openstack-charmers-next/xenial/neutron
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers-next/xenial/nova,cs:~openstack-charmers-next/xenial/neutron
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers-next/xenial/openstack,cs:~openstack-charmers
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers-next/xenial/nova-cloud,cs:~openstack-charmers-next/xenial/percona
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers/cinder,cs:~openstack-charmers/glance
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers/cinder,cs:~openstack-charmers/keystone
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers,cs:~openstack-charmers-next/xenial/nova-cloud
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers-next/xenial/cinder,cs:~openstack-charmers
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers-next/xenial/ceph,cs:~openstack-charmers-next/xenial/nova
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers-next/xenial/nova,cs:~openstack-charmers-next/xenial/cinder
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers-next/xenial/ceph,cs:~openstack-charmers-next/xenial/cinder
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers-next/xenial/ceph,cs:~openstack-charmers
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers-next/xenial/ceph/ceph-osd,cs:~openstack-charmers-next/xenial/ceph/ceph-mon
