graph,component,component,distance
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:trusty/zend-server,2
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:trusty/tomcat,2
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:precise/node-app,2
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:trusty/python-django,2
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:precise/rails,2
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:trusty/haproxy,2
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:trusty/nagios,2
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:trusty/hdp-hive,2
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:trusty/hdp-hadoop,2
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:~vpalos/trusty/kafka,2
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:trusty/hdp-storm,2
complex-webapp-and-management-bundle-10.yml,cs:precise/openvpn-as,cs:trusty/hdp-zookeeper,2
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:precise/node-app,0
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:trusty/nrpe,1
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:trusty/landscape-client,1
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:trusty/ganglia-node,1
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:trusty/logstash-agent,1
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:trusty/haproxy,1
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:precise/mongodb,1
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:trusty/ganglia,2
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:trusty/kibana,2
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:trusty/elasticsearch,2
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:precise/logstash-indexer,2
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:trusty/rabbitmq-server,2
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:trusty/mysql,2
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:trusty/memcached,2
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:trusty/terracotta,2
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:trusty/postgresql,2
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:precise/redis-master,2
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:trusty/zend-server,2
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:trusty/tomcat,2
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:trusty/python-django,2
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:precise/rails,2
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:precise/openvpn-as,2
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:trusty/nagios,2
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:trusty/hdp-hive,2
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:trusty/hdp-hadoop,2
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:~vpalos/trusty/kafka,2
